event,pace,distance
10K,7.55,10
10K,7.55,10
10K,7.583333333,10
10K,7.6,10
10K,7.583333333,10
10K,7.666666667,10
10K,7.666666667,10
10K,7.733333333,10
10K,7.733333333,10
10K,7.716666667,10
10K,7.733333333,10
10K,7.733333333,10
10K,7.783333333,10
10K,7.783333333,10
10K,7.783333333,10
10K,7.8,10
10K,7.816666667,10
10K,7.816666667,10
10K,6.283333333,10
10K,7.85,10
10K,7.866666667,10
10K,7.9,10
10K,7.916666667,10
10K,8.033333333,10
10K,8.1,10
10K,8.1,10
10K,8.016666667,10
10K,8.066666667,10
10K,8.05,10
10K,8.116666667,10
10K,8.183333333,10
10K,8.15,10
10K,8.15,10
10K,8.15,10
10K,8.266666667,10
10K,8.216666667,10
10K,8.333333333,10
10K,8.266666667,10
10K,8.283333333,10
10K,8.333333333,10
10K,8.35,10
10K,8.366666667,10
10K,8.35,10
10K,8.35,10
10K,8.366666667,10
10K,8.466666667,10
10K,8.533333333,10
10K,8.55,10
10K,8.583333333,10
10K,8.583333333,10
10K,8.633333333,10
10K,8.65,10
10K,8.716666667,10
10K,8.733333333,10
10K,8.733333333,10
10K,8.75,10
10K,8.866666667,10
10K,8.9,10
10K,8.9,10
10K,9.016666667,10
10K,9.016666667,10
10K,9.116666667,10
10K,9.116666667,10
10K,9.25,10
10K,9.25,10
10K,9.25,10
10K,9.316666667,10
10K,9.35,10
10K,9.25,10
10K,9.25,10
10K,9.25,10
10K,9.4,10
10K,9.383333333,10
10K,9.666666667,10
10K,9.716666667,10
10K,9.716666667,10
10K,9.766666667,10
10K,9.85,10
10K,9.85,10
10K,9.933333333,10
10K,10.03333333,10
10K,10.03333333,10
10K,10.03333333,10
10K,10.03333333,10
10K,10.13333333,10
10K,10.15,10
10K,10.41666667,10
10K,10.43333333,10
10K,10.53333333,10
10K,10.53333333,10
10K,10.53333333,10
10K,10.55,10
10K,10.55,10
10K,10.55,10
10K,10.6,10
10K,10.78333333,10
10K,10.78333333,10
10K,11.26666667,10
10K,11.26666667,10
10K,11.3,10
10K,11.3,10
10K,11.43333333,10
10K,11.78333333,10
10K,11.78333333,10
10K,11.78333333,10
10K,11.78333333,10
10K,12.08333333,10
Half,3.583333333,21.1
Half,3.7,21.1
Half,3.8,21.1
Half,3.816666667,21.1
Half,3.816666667,21.1
Half,3.85,21.1
Half,3.883333333,21.1
Half,3.9,21.1
Half,3.9,21.1
Half,3.933333333,21.1
Half,3.966666667,21.1
Half,3.983333333,21.1
Half,4.016666667,21.1
Half,4.033333333,21.1
Half,4.033333333,21.1
Half,4.033333333,21.1
Half,4.05,21.1
Half,4.066666667,21.1
Half,4.066666667,21.1
Half,4.083333333,21.1
Half,4.1,21.1
Half,4.1,21.1
Half,4.116666667,21.1
Half,4.116666667,21.1
Half,4.133333333,21.1
Half,4.133333333,21.1
Half,4.15,21.1
Half,4.166666667,21.1
Half,4.166666667,21.1
Half,4.166666667,21.1
Half,4.15,21.1
Half,4.166666667,21.1
Half,4.166666667,21.1
Half,4.183333333,21.1
Half,4.183333333,21.1
Half,4.183333333,21.1
Half,4.166666667,21.1
Half,4.216666667,21.1
Half,4.266666667,21.1
Half,4.266666667,21.1
Half,4.266666667,21.1
Half,4.3,21.1
Half,4.3,21.1
Half,4.316666667,21.1
Half,4.316666667,21.1
Half,4.316666667,21.1
Half,4.366666667,21.1
Half,4.366666667,21.1
Half,4.383333333,21.1
Half,4.383333333,21.1
Half,4.4,21.1
Half,4.4,21.1
Half,4.4,21.1
Half,4.4,21.1
Half,4.416666667,21.1
Half,4.416666667,21.1
Half,4.416666667,21.1
Half,4.416666667,21.1
Half,4.4,21.1
Half,4.433333333,21.1
Half,4.433333333,21.1
Half,4.433333333,21.1
Half,4.45,21.1
Half,4.45,21.1
Half,4.466666667,21.1
Half,4.466666667,21.1
Half,4.466666667,21.1
Half,4.466666667,21.1
Half,4.466666667,21.1
Half,4.483333333,21.1
Half,4.5,21.1
Half,4.5,21.1
Half,4.516666667,21.1
Half,4.5,21.1
Half,4.516666667,21.1
Half,4.516666667,21.1
Half,4.55,21.1
Half,4.55,21.1
Half,4.566666667,21.1
Half,4.566666667,21.1
Half,4.566666667,21.1
Half,4.566666667,21.1
Half,4.583333333,21.1
Half,4.583333333,21.1
Half,4.6,21.1
Half,4.6,21.1
Half,4.616666667,21.1
Half,4.633333333,21.1
Half,4.616666667,21.1
Half,4.65,21.1
Half,4.666666667,21.1
Half,4.666666667,21.1
Half,4.666666667,21.1
Half,4.633333333,21.1
Half,4.683333333,21.1
Half,4.666666667,21.1
Half,4.683333333,21.1
Half,4.683333333,21.1
Half,4.683333333,21.1
Half,4.666666667,21.1
